O*NET-SOC Code	Element ID	Element Name	Scale ID	Data Value
11-1011.01	2.C.1.a	Administration and Management	IM	5
11-1011.01	2.C.1.a	Administration and Management	LV	6
11-1011.01	2.C.1.b	Clerical	IM	2.66
11-1011.01	2.C.1.b	Clerical	LV	3.5
11-1011.01	2.C.1.c	Economics and Accounting	IM	3.83
11-1011.01	2.C.1.c	Economics and Accounting	LV	5
11-1011.01	2.C.1.d	Sales and Marketing	IM	2.83
11-1011.01	2.C.1.d	Sales and Marketing	LV	3.33
11-1011.01	2.C.1.e	Customer and Personal Service	IM	3
11-1011.01	2.C.1.e	Customer and Personal Service	LV	4
11-1011.01	2.C.1.f	Personnel and Human Resources	IM	3.83
11-1011.01	2.C.1.f	Personnel and Human Resources	LV	5.33
11-1011.01	2.C.2.a	Production and Processing	IM	1.33
11-1011.01	2.C.2.a	Production and Processing	LV	1
11-1011.01	2.C.2.b	Food Production	IM	1
11-1011.01	2.C.2.b	Food Production	LV	.33
11-1011.01	2.C.3.a	Computers and Electronics	IM	2.16
11-1011.01	2.C.3.a	Computers and Electronics	LV	2.5
11-1011.01	2.C.3.b	Engineering and Technology	IM	1
11-1011.01	2.C.3.b	Engineering and Technology	LV	.16
11-1011.01	2.C.3.c	Design	IM	1
11-1011.01	2.C.3.c	Design	LV	.16
11-1011.01	2.C.3.d	Building and Construction	IM	1
11-1011.01	2.C.3.d	Building and Construction	LV	.33
11-1011.01	2.C.3.e	Mechanical	IM	1
11-1011.01	2.C.3.e	Mechanical	LV	.5
11-1011.01	2.C.4.a	Mathematics	IM	3.66
11-1011.01	2.C.4.a	Mathematics	LV	4.16
11-1011.01	2.C.4.b	Physics	IM	1
11-1011.01	2.C.4.b	Physics	LV	.16
11-1011.01	2.C.4.c	Chemistry	IM	1
11-1011.01	2.C.4.c	Chemistry	LV	.33
11-1011.01	2.C.4.d	Biology	IM	1
11-1011.01	2.C.4.d	Biology	LV	.5
11-1011.01	2.C.4.e	Psychology	IM	3.33
11-1011.01	2.C.4.e	Psychology	LV	4.16
11-1011.01	2.C.4.f	Sociology and Anthropology	IM	2.5
11-1011.01	2.C.4.f	Sociology and Anthropology	LV	2.5
11-1011.01	2.C.4.g	Geography	IM	2
11-1011.01	2.C.4.g	Geography	LV	2.5
11-1011.01	2.C.5.a	Medicine and Dentistry	IM	1
11-1011.01	2.C.5.a	Medicine and Dentistry	LV	.33
11-1011.01	2.C.5.b	Therapy and Counseling	IM	1.66
11-1011.01	2.C.5.b	Therapy and Counseling	LV	1.5
11-1011.01	2.C.6	Education and Training	IM	4
11-1011.01	2.C.6	Education and Training	LV	5.5
11-1011.01	2.C.7.a	English Language	IM	4.66
