O*NET-SOC Code	Element ID	Element Name	Scale ID	Data Value
11-1011.01	2.A.1.a	Reading Comprehension	IM	4.5
11-1011.01	2.A.1.a	Reading Comprehension	LV	5.66
11-1011.01	2.A.1.b	Active Listening	IM	4.66
11-1011.01	2.A.1.b	Active Listening	LV	5.5
11-1011.01	2.A.1.c	Writing	IM	4.83
11-1011.01	2.A.1.c	Writing	LV	5.66
11-1011.01	2.A.1.d	Speaking	IM	4.83
11-1011.01	2.A.1.d	Speaking	LV	5.66
11-1011.01	2.A.1.e	Mathematics	IM	4
11-1011.01	2.A.1.e	Mathematics	LV	4.33
11-1011.01	2.A.1.f	Science	IM	1.33
11-1011.01	2.A.1.f	Science	LV	.66
11-1011.01	2.A.2.a	Critical Thinking	IM	4.66
11-1011.01	2.A.2.a	Critical Thinking	LV	5.83
11-1011.01	2.A.2.b	Active Learning	IM	4.33
11-1011.01	2.A.2.b	Active Learning	LV	5.5
11-1011.01	2.A.2.c	Learning Strategies	IM	3
11-1011.01	2.A.2.c	Learning Strategies	LV	4.33
11-1011.01	2.A.2.d	Monitoring	IM	4.33
11-1011.01	2.A.2.d	Monitoring	LV	5.83
11-1011.01	2.B.1.a	Social Perceptiveness	IM	4
11-1011.01	2.B.1.a	Social Perceptiveness	LV	4.5
11-1011.01	2.B.1.b	Coordination	IM	4.66
11-1011.01	2.B.1.b	Coordination	LV	6.33
11-1011.01	2.B.1.c	Persuasion	IM	3.5
11-1011.01	2.B.1.c	Persuasion	LV	5
11-1011.01	2.B.1.d	Negotiation	IM	3.83
11-1011.01	2.B.1.d	Negotiation	LV	4.83
11-1011.01	2.B.1.e	Instructing	IM	2.66
11-1011.01	2.B.1.e	Instructing	LV	3.33
11-1011.01	2.B.1.f	Service Orientation	IM	2.5
11-1011.01	2.B.1.f	Service Orientation	LV	3.33
11-1011.01	2.B.3.a	Operations Analysis	IM	2.66
11-1011.01	2.B.3.a	Operations Analysis	LV	3.33
11-1011.01	2.B.3.b	Technology Design	IM	1
11-1011.01	2.B.3.b	Technology Design	LV	.16
11-1011.01	2.B.3.c	Equipment Selection	IM	1.66
11-1011.01	2.B.3.c	Equipment Selection	LV	1.5
11-1011.01	2.B.3.d	Installation	IM	1.66
11-1011.01	2.B.3.d	Installation	LV	1.33
11-1011.01	2.B.3.e	Programming	IM	1
11-1011.01	2.B.3.e	Programming	LV	.33
11-1011.01	2.B.3.g	Operation Monitoring	IM	1
11-1011.01	2.B.3.g	Operation Monitoring	LV	.5
11-1011.01	2.B.3.h	Operation and Control	IM	1.66
11-1011.01	2.B.3.h	Operation and Control	LV	2.16
11-1011.01	2.B.3.j	Equipment Maintenance	IM	1
11-1011.01	2.B.3.j	Equipment Maintenance	LV	.5
11-1011.01	2.B.3.k	Troubleshooting	IM	1
11-1011.01	2.B.3.k	Troubleshooting	LV	.5
11-1011.01	2.B.3.l	Repairing	IM	1
11-1011.01	2.B.3.l	Repairing	LV	.33
